|GLEAM J235222-364240|23 52 22.17|-36 42 40.8|       1853.491|       1617.688|       1454.210|       1348.546|        1298.327|        1169.778|        1119.089|        1116.879|        1042.019|        1003.733|         909.434|         887.188|         859.236|         820.710|         807.006|         771.107|         771.347|         732.749|         729.427|         730.649|-0.829|
|GLEAM J193716-395802|19 37 16.38|-39 58 02.5|       1281.454|       1347.166|       1065.412|       1118.986|        1021.324|        1019.419|        1067.575|        1011.779|         957.980|        1003.743|         912.852|         862.946|         907.619|         843.998|         884.034|         782.441|         761.215|         788.584|         732.964|         744.191|-0.504|
|GLEAM J100521-314454|10 05 21.08|-31 44 54.8|       1709.074|       1610.932|       1604.722|       1378.085|        1383.587|        1275.563|        1221.643|        1181.704|        1081.855|        1003.777|        1003.799|         987.453|         891.960|         888.906|         840.963|         796.196|         758.611|         718.815|         708.682|         667.013|-0.896|
|GLEAM J140849-290016|14 08 49.72|-29 00 16.3|       1557.919|       1370.373|       1396.978|       1342.757|        1193.963|        1122.451|        1136.778|        1137.460|        1056.470|        1003.975|         965.179|         921.882|         891.144|         928.838|         899.286|         882.629|         884.308|         824.074|         817.532|         792.178|-0.570|
|GLEAM J095612-302626|09 56 12.95|-30 26 26.9|       1929.886|       1688.415|       1541.723|       1538.634|        1429.048|        1291.429|        1195.012|        1087.982|        1051.516|        1004.036|        1006.608|         920.337|         897.259|         826.332|         749.810|         764.839|         746.456|         711.821|         699.602|         696.617|-0.946|
|GLEAM J161659-245605|16 16 59.56|-24 56 06.0|       1588.936|       1420.695|       1609.663|       1373.785|        1324.975|        1271.945|        1127.510|        1085.511|         957.532|        1004.459|         976.760|         951.207|         920.142|         877.024|         855.932|         854.470|         790.952|         767.304|         734.017|         734.521|-0.750|
|GLEAM J225727-354525|22 57 27.61|-35 45 25.1|       1548.372|       1460.850|       1421.263|       1181.810|        1208.310|        1133.766|        1141.733|        1122.805|        1030.353|        1004.734|         951.242|         930.210|         897.240|         871.339|         828.272|         800.573|         826.515|         777.048|         759.639|         756.118|-0.660|
|GLEAM J215529-274505|21 55 29.06|-27 45 05.1|       1867.663|       1713.217|       1663.453|       1450.232|        1393.421|        1247.363|        1213.850|        1178.913|        1077.574|        1005.017|         953.042|         894.241|         862.868|         847.292|         829.364|         791.575|         762.044|         741.996|         717.426|         692.027|-0.917|
|GLEAM J023315-344748|02 33 15.62|-34 47 48.6|       1914.068|       1713.322|       1550.486|       1441.020|        1357.494|        1284.773|        1227.110|        1162.616|        1007.770|        1005.129|         982.968|         921.580|         875.643|         835.972|         825.207|         824.020|         811.499|         793.350|         747.979|         708.790|-0.856|
|GLEAM J201040-210755|20 10 40.59|-21 07 55.0|       1733.592|       1732.834|       1428.222|       1305.125|        1309.047|        1264.739|        1209.936|        1068.350|         993.461|        1005.433|         977.473|         901.503|         980.696|         857.906|         844.573|         770.375|         780.699|         713.224|         673.404|         776.602|-0.820|
|GLEAM J195313-240900|19 53 13.89|-24 09 00.8|       1638.512|       1598.733|       1403.531|       1371.511|        1299.841|        1203.900|        1100.883|        1040.648|        1116.851|        1005.494|         971.740|         807.400|         868.751|         862.899|         854.579|         804.729|         759.868|         759.998|         806.072|         690.687|-0.751|
|GLEAM J021049-272155|02 10 49.27|-27 21 55.6|       1983.802|       1913.334|       1606.847|       1573.778|        1432.828|        1328.579|        1223.338|        1172.297|        1071.850|        1005.825|         987.145|         944.269|         898.201|         862.477|         840.644|         797.426|         783.966|         706.869|         689.004|         659.859|-0.994|
|GLEAM J140723-210855|14 07 23.86|-21 08 55.3|       1798.811|       1757.424|       1560.462|       1480.647|        1496.541|        1364.537|        1231.929|        1099.084|        1127.805|        1006.343|        1001.763|         957.817|         893.664|         904.368|         805.084|         826.659|         805.202|         752.729|         737.379|         707.932|-0.893|
|GLEAM J234535-224714|23 45 35.12|-22 47 14.2|       1781.528|       1607.502|       1463.297|       1435.319|        1269.619|        1222.608|        1169.117|        1123.688|        1057.351|        1006.610|         972.115|         923.329|         920.179|         815.393|         805.249|         830.205|         765.527|         763.451|         708.305|         689.310|-0.829|
|GLEAM J005547-212632|00 55 47.86|-21 26 32.2|       1755.881|       1735.047|       1471.858|       1402.715|        1300.016|        1260.104|        1182.788|        1083.852|        1044.594|        1007.082|         934.785|         914.505|         849.088|         837.092|         816.488|         760.399|         754.589|         722.337|         697.438|         675.139|-0.886|
|GLEAM J005210-374108|00 52 10.86|-37 41 08.6|       1844.064|       1785.549|       1503.207|       1391.423|        1324.427|        1273.589|        1211.259|        1151.317|        1071.206|        1007.904|         984.937|         934.376|         880.071|         861.807|         839.026|         770.118|         760.367|         761.259|         735.958|         706.435|-0.868|
|GLEAM J123116-353322|12 31 16.11|-35 33 22.9|       1713.079|       1763.494|       1423.143|       1452.352|        1406.861|        1425.459|        1219.628|        1202.696|        1060.675|        1008.360|         965.688|         923.435|         853.525|         872.194|         820.253|         805.261|         769.108|         752.259|         750.708|         730.624|-0.866|
|GLEAM J102850-273536|10 28 50.42|-27 35 36.8|       2043.856|       1912.725|       1721.878|       1464.544|        1406.170|        1276.953|        1249.901|        1186.299|        1091.938|        1008.500|         945.175|         897.748|         838.814|         830.748|         807.706|         777.579|         728.432|         721.882|         679.816|         656.090|-1.029|
|GLEAM J050520-221210|05 05 20.17|-22 12 10.1|       1850.169|       1647.783|       1511.300|       1458.780|        1362.730|        1353.631|        1296.850|        1099.345|        1084.131|        1008.622|         961.655|         908.901|         919.298|         862.302|         812.126|         749.848|         793.194|         776.788|         718.785|         730.243|-0.877|
|GLEAM J194254-222042|19 42 54.05|-22 20 43.0|       1696.940|       1653.154|       1671.802|       1422.633|        1261.391|        1224.714|        1155.172|        1004.768|        1017.331|        1008.942|         948.390|         950.597|         909.904|         851.763|         795.420|         816.436|         728.449|         736.264|         688.654|         686.385|-0.864|
|GLEAM J150912-353228|15 09 12.77|-35 32 28.4|       2009.742|       1580.770|       1622.917|       1191.952|        1343.188|        1361.662|        1177.500|        1036.459|        1079.527|        1009.244|         880.488|         852.071|         838.685|         780.054|         761.688|         706.717|         740.427|         672.691|         611.240|         567.033|-1.034|
|GLEAM J124336-313523|12 43 36.12|-31 35 23.1|       1829.675|       1781.056|       1472.746|       1497.623|        1431.039|        1414.215|        1217.276|        1197.150|        1061.904|        1009.726|         976.605|         943.478|         991.617|         879.642|         899.186|         818.452|         790.531|         759.078|         736.040|         725.813|-0.872|
|GLEAM J062239-351607|06 22 39.98|-35 16 07.4|       2067.385|       1990.011|       1681.862|       1645.703|        1439.629|        1352.604|        1189.441|        1172.557|        1036.527|        1009.919|         963.968|         896.149|         843.460|         810.176|         745.811|         690.539|         692.600|         680.891|         654.235|         627.247|-1.132|
|GLEAM J125432-260517|12 54 32.04|-26 05 17.7|       1781.437|       1569.640|       1636.849|       1352.387|        1479.556|        1375.655|        1131.637|        1171.738|        1064.824|        1010.267|         905.881|         923.575|         885.817|         831.361|         828.009|         781.941|         776.429|         746.192|         711.573|         690.940|-0.896|
|GLEAM J022603-375740|02 26 03.80|-37 57 40.3|       2009.400|       1805.301|       1637.687|       1578.449|        1527.553|        1350.814|        1247.951|        1188.603|        1073.665|        1010.391|         940.456|         909.953|         906.532|         846.620|         814.895|         782.105|         743.318|         710.116|         700.858|         658.299|-1.019|
|GLEAM J201857-260911|20 18 57.21|-26 09 11.8|       1769.697|       1486.130|       1568.016|       1404.266|        1328.299|        1258.832|        1228.312|        1175.477|        1142.819|        1010.410|        1082.804|         953.079|        1139.404|         963.197|         941.737|         838.615|         685.000|         733.239|         746.621|         712.149|-0.676|
|GLEAM J000708-253254|00 07 08.91|-25 32 54.7|       1739.908|       1703.270|       1451.539|       1512.852|        1376.086|        1267.612|        1177.999|        1146.092|        1065.807|        1010.814|         919.463|         887.501|         921.646|         876.868|         825.413|         781.780|         794.656|         749.204|         724.842|         692.469|-0.860|
|GLEAM J054621-293143|05 46 21.28|-29 31 43.9|       1632.130|       1545.416|       1406.259|       1329.864|        1216.541|        1176.384|        1153.365|        1110.583|        1065.861|        1010.932|         989.425|         966.930|         902.954|         884.779|         871.508|         823.594|         826.191|         791.160|         771.890|         782.921|-0.672|
|GLEAM J090929-223620|09 09 29.14|-22 36 21.0|       2133.805|       1753.471|       1694.250|       1493.019|        1341.561|        1278.701|        1217.843|        1184.160|        1075.988|        1011.282|         933.467|         901.594|         895.167|         817.844|         760.823|         763.505|         695.919|         662.283|         655.938|         572.762|-1.073|
